customer_id,home_market,signup_date,age_group,income_group,home_area_type,acquisition_channel,device,loyalty_member,prior_rides,prior_spend,prior_promotions_used,days_since_last_ride,prior_avg_rating,prior_complaints
C00034,Grand Junction,2024-11-26,25-34,Under $35k,Inner suburb,Paid search,iOS,1,1,22.8,0,3,4.83,0
C00035,Northport,2022-03-02,45-54,$35k-$59k,Urban core,Referral,iOS,0,6,149.43,1,45,4.72,0
C00036,Riverton,2023-07-10,35-44,$60k-$89k,Outer suburb,Paid search,Android,0,4,79.3,1,29,4.24,0
C00037,Lake City,2024-07-24,35-44,$35k-$59k,Inner suburb,Organic,iOS,0,0,0.0,0,385,4.79,0
C00038,Lake City,2023-08-20,35-44,$125k+,Urban core,Paid search,Android,0,1,15.56,0,45,4.77,0
C00039,Grand Junction,2024-06-09,35-44,,Inner suburb,Organic,iOS,0,36,904.64,3,15,4.64,0
C00040,Riverton,2022-09-16,45-54,$60k-$89k,Urban core,Social media,Android,0,6,106.9,2,23,5.0,0
C00041,Mesa Vista,2022-08-25,25-34,Under $35k,Inner suburb,Paid search,iOS,0,10,207.7,3,71,4.5,0
C00042,Mesa Vista,2022-09-05,45-54,,Inner suburb,Social media,iOS,0,5,125.48,1,27,4.53,1
C00043,Lake City,2023-06-17,35-44,$60k-$89k,Urban core,Paid search,Android,0,8,201.61,0,31,5.0,0
C00044,Northport,2022-09-05,35-44,$60k-$89k,Outer suburb,Paid search,Android,0,5,144.97,2,20,4.78,1
C00045,Mesa Vista,2022-09-08,35-44,$35k-$59k,Inner suburb,Referral,iOS,0,20,306.08,1,20,4.81,0
C00046,Northport,2022-06-26,25-34,$35k-$59k,Urban core,Organic,iOS,0,2,53.03,2,29,,0
C00047,Riverton,2022-10-17,35-44,$90k-$124k,Inner suburb,Referral,Android,0,5,116.5,1,76,4.52,0
C00048,Mesa Vista,2024-09-29,65+,$35k-$59k,Urban core,Organic,Android,0,14,258.85,5,60,4.92,0
C00049,Grand Junction,2024-06-16,35-44,$60k-$89k,Urban core,Organic,Android,0,16,328.41,7,19,,1
C00050,Northport,2022-01-20,65+,$90k-$124k,Urban core,Referral,Android,0,5,131.5,2,7,4.85,0
C00051,Northport,2024-10-28,25-34,$60k-$89k,Outer suburb,Referral,iOS,0,4,38.71,1,10,4.77,0
C00052,Mesa Vista,2023-02-12,25-34,Under $35k,Outer suburb,Organic,Android,0,0,0.0,0,172,4.8,0
C00053,Mesa Vista,2022-10-19,25-34,$35k-$59k,Inner suburb,Organic,iOS,0,0,0.0,0,379,4.86,0
C00054,Northport,2023-06-24,35-44,Under $35k,Outer suburb,Referral,iOS,0,1,25.95,0,34,4.85,0
C00055,Northport,2024-02-13,25-34,,Inner suburb,Organic,iOS,0,1,30.9,0,41,5.0,0
C00056,Northport,2024-11-14,25-34,Under $35k,Outer suburb,Partnership,iOS,0,7,163.71,0,48,4.88,0
C00057,Northport,2023-03-12,25-34,$60k-$89k,Inner suburb,Organic,Android,0,0,0.0,0,192,4.97,0
C00058,Lake City,2022-10-19,35-44,,Inner suburb,Organic,iOS,0,1,34.12,0,13,4.61,0
C00059,Mesa Vista,2023-10-29,45-54,$35k-$59k,Outer suburb,Partnership,Android,0,0,0.0,0,313,4.88,0
C00060,Grand Junction,2023-03-17,35-44,$60k-$89k,Inner suburb,Organic,iOS,0,4,52.14,0,2,4.7,0
C00061,Riverton,2022-02-15,45-54,,Outer suburb,Referral,Android,0,1,17.02,0,34,5.0,0
C00062,Lake City,2024-12-14,45-54,$35k-$59k,Outer suburb,Referral,iOS,0,3,63.1,1,1,4.44,0
C00063,Northport,2024-05-06,25-34,$90k-$124k,Urban core,Social media,iOS,1,2,52.47,0,34,4.71,0
C00064,Riverton,2023-08-27,35-44,$90k-$124k,Urban core,Referral,iOS,0,3,60.35,0,85,4.78,1
C00065,Mesa Vista,2024-03-13,35-44,$90k-$124k,Urban core,Organic,Android,1,19,353.26,3,19,,0
C00066,Northport,2024-05-02,25-34,$125k+,Urban core,Social media,iOS,0,2,65.83,1,58,4.73,0
C00067,Mesa Vista,2023-08-31,65+,$125k+,Inner suburb,Organic,iOS,0,10,262.93,4,16,4.18,0
C00068,Grand Junction,2023-09-03,25-34,Under $35k,Outer suburb,Paid search,iOS,0,5,110.85,0,17,4.64,0
C00069,Riverton,2022-09-05,45-54,$90k-$124k,Urban core,Paid search,iOS,0,25,631.69,4,34,4.84,0
C00070,Northport,2024-11-26,18-24,Under $35k,Inner suburb,Paid search,Android,0,2,41.72,0,30,4.59,1
C00071,Riverton,2022-04-19,35-44,$60k-$89k,Inner suburb,Paid search,Android,0,0,0.0,1,432,4.59,0
C00072,Mesa Vista,2022-11-13,65+,Under $35k,Inner suburb,Organic,Android,0,13,255.67,0,66,,1
C00073,Riverton,2024-08-31,35-44,$90k-$124k,Outer suburb,Referral,Android,0,20,403.1,2,160,4.61,0
C00074,Riverton,2024-09-17,65+,Under $35k,Inner suburb,Paid search,iOS,0,5,139.02,0,2,5.0,0
C00075,Riverton,2022-03-14,25-34,Under $35k,Urban core,Organic,Android,0,5,138.91,1,1,4.95,0
C00076,Lake City,2022-03-04,45-54,,Urban core,Organic,Android,0,8,216.41,1,67,4.86,1
C00077,Grand Junction,2023-06-22,35-44,$90k-$124k,Inner suburb,Referral,iOS,0,18,357.95,7,28,4.67,0
C00078,Mesa Vista,2023-11-14,45-54,$35k-$59k,Urban core,Referral,iOS,0,0,0.0,1,134,4.2,0
C00079,Mesa Vista,2024-11-03,25-34,$60k-$89k,Outer suburb,Social media,iOS,0,0,0.0,0,266,4.9,0
C00080,Mesa Vista,2023-11-29,25-34,$60k-$89k,Urban core,Organic,iOS,0,3,85.99,1,23,4.42,0
C00081,Mesa Vista,2024-03-07,55-64,Under $35k,Outer suburb,Partnership,iOS,0,1,12.6,0,19,5.0,1
C00082,Grand Junction,2022-07-29,25-34,$35k-$59k,Inner suburb,Referral,iOS,0,15,242.56,2,17,4.15,0
C00083,Riverton,2022-12-11,18-24,$35k-$59k,Inner suburb,Paid search,iOS,0,9,179.24,5,24,,1
C00084,Grand Junction,2023-07-04,55-64,Under $35k,Urban core,Organic,iOS,0,0,0.0,0,368,4.95,0
C00085,Mesa Vista,2024-02-02,25-34,$35k-$59k,Urban core,Paid search,Android,0,7,130.44,1,37,4.37,0
C00086,Mesa Vista,2023-06-24,45-54,$35k-$59k,Urban core,Partnership,Android,0,8,150.04,3,60,4.74,0
C00087,Northport,2024-07-31,45-54,,Inner suburb,Paid search,iOS,0,1,30.2,0,52,4.91,0
C00088,Lake City,2023-11-27,45-54,$60k-$89k,Outer suburb,Organic,Android,0,9,296.5,1,26,5.0,1
C00089,Lake City,2023-02-28,45-54,$125k+,Inner suburb,Paid search,iOS,0,8,180.97,2,135,4.75,0
C00090,Northport,2023-09-20,65+,$125k+,Inner suburb,Paid search,iOS,0,6,154.38,2,66,5.0,0
C00091,Grand Junction,2023-07-01,45-54,,Inner suburb,Referral,Android,0,0,0.0,0,347,4.54,0
C00092,Grand Junction,2022-04-11,25-34,Under $35k,Outer suburb,Paid search,iOS,0,5,105.48,0,8,4.31,0
C00093,Lake City,2022-05-03,35-44,$35k-$59k,Urban core,Organic,iOS,0,0,0.0,0,304,4.65,0
C00094,Mesa Vista,2023-10-14,25-34,$90k-$124k,Inner suburb,Organic,Android,0,7,174.81,1,84,5.0,0
C00095,Northport,2022-12-24,25-34,$125k+,Inner suburb,Social media,Android,0,6,138.86,3,73,4.29,0
C00096,Riverton,2024-03-26,25-34,$125k+,Inner suburb,Organic,Android,0,9,235.01,1,52,,1
C00097,Lake City,2024-10-19,35-44,$60k-$89k,Urban core,Paid search,Android,0,7,52.08,0,15,4.59,0
C00098,Mesa Vista,2024-10-24,55-64,$125k+,Urban core,Social media,Android,0,1,22.89,0,37,4.79,0
C00099,Grand Junction,2024-12-27,45-54,$90k-$124k,Inner suburb,Partnership,Android,0,4,68.49,0,43,4.89,0
C00100,Lake City,2022-10-24,18-24,,Outer suburb,Paid search,Android,1,4,91.68,1,8,4.38,0
C00101,Riverton,2022-09-10,35-44,Under $35k,Inner suburb,Referral,Android,0,4,73.62,0,94,,0
C00102,Mesa Vista,2022-11-03,25-34,Under $35k,Urban core,Organic,Android,0,6,132.58,2,5,4.29,1
C00103,Mesa Vista,2024-09-24,18-24,$35k-$59k,Inner suburb,Organic,iOS,0,2,47.21,0,7,4.8,0
C00104,Riverton,2022-03-13,25-34,$60k-$89k,Inner suburb,Organic,Android,0,8,146.56,0,11,4.84,0
C00105,Northport,2023-10-28,25-34,$60k-$89k,Inner suburb,Organic,iOS,0,0,0.0,1,225,4.42,0
C00106,Riverton,2024-01-29,45-54,$60k-$89k,Urban core,Referral,Android,0,17,222.67,6,24,4.82,0
C00107,Lake City,2022-10-29,25-34,$60k-$89k,Urban core,Organic,iOS,0,14,327.22,1,48,5.0,1
C00108,Grand Junction,2023-02-18,45-54,$90k-$124k,Inner suburb,Organic,iOS,0,0,0.0,0,239,4.53,0
C00109,Mesa Vista,2023-07-19,25-34,Under $35k,Inner suburb,Organic,Android,0,3,37.02,2,4,4.87,0
C00110,Riverton,2022-11-04,25-34,Under $35k,Inner suburb,Partnership,iOS,1,10,86.35,2,16,4.87,1
C00111,Northport,2023-12-11,55-64,$60k-$89k,Outer suburb,Organic,Android,0,0,0.0,1,484,4.69,0
C00112,Lake City,2024-09-16,35-44,Under $35k,Outer suburb,Social media,iOS,0,0,0.0,0,161,4.54,0
C00113,Lake City,2024-06-07,35-44,$35k-$59k,Inner suburb,Social media,Android,0,0,0.0,0,219,4.08,0
C00114,Northport,2023-08-08,25-34,$35k-$59k,Inner suburb,Organic,iOS,0,2,29.46,0,60,5.0,0
C00115,Grand Junction,2023-10-31,55-64,$35k-$59k,Outer suburb,Paid search,iOS,0,11,233.84,3,8,4.88,0
C00116,Grand Junction,2023-07-18,35-44,$90k-$124k,Outer suburb,Social media,iOS,0,13,432.36,2,18,4.45,0
C00117,Grand Junction,2022-09-28,25-34,$125k+,Urban core,Organic,iOS,1,28,568.54,1,4,4.72,1
C00118,Riverton,2022-01-01,25-34,$90k-$124k,Urban core,Organic,iOS,0,3,56.94,0,168,4.97,0
C00119,Northport,2023-12-26,25-34,$60k-$89k,Inner suburb,Organic,Android,0,5,87.83,1,3,,0
C00120,Mesa Vista,2022-12-20,18-24,Under $35k,Outer suburb,Social media,Android,0,9,131.37,3,7,4.94,0
C00121,Northport,2022-03-31,65+,$60k-$89k,Urban core,Paid search,Android,0,10,268.56,1,38,4.54,0
C00122,Northport,2023-07-07,25-34,$35k-$59k,Urban core,Partnership,iOS,0,4,76.15,0,82,4.68,1
C00123,Lake City,2023-11-22,18-24,$125k+,Urban core,Social media,iOS,1,9,269.38,3,34,4.64,1
C00124,Grand Junction,2024-09-26,35-44,$90k-$124k,Urban core,Organic,iOS,0,3,60.0,1,3,4.78,0
C00125,Mesa Vista,2024-10-15,25-34,,Urban core,Referral,iOS,0,1,25.3,1,26,4.99,0
C00126,Lake City,2024-02-07,35-44,$125k+,Urban core,Organic,iOS,1,3,58.24,1,3,4.19,1
C00127,Grand Junction,2023-11-11,25-34,$90k-$124k,Urban core,Organic,Android,0,6,121.22,3,13,4.57,0
C00128,Grand Junction,2024-07-11,45-54,$125k+,Urban core,Organic,iOS,1,7,237.25,0,30,4.54,0
C00129,Lake City,2024-04-01,35-44,Under $35k,Inner suburb,Referral,iOS,0,8,159.43,3,5,4.32,0
C00130,Mesa Vista,2024-11-13,35-44,$125k+,Urban core,Organic,iOS,0,22,414.32,0,44,,2
C00131,Mesa Vista,2022-11-07,65+,$125k+,Inner suburb,Referral,Android,1,11,320.49,1,46,4.64,0
C00132,Riverton,2022-12-25,65+,Under $35k,Inner suburb,Organic,Android,0,1,15.8,0,28,4.9,0
C00133,Mesa Vista,2024-06-06,45-54,$60k-$89k,Inner suburb,Organic,Android,0,1,31.64,0,18,4.46,0
C00134,Lake City,2022-11-18,25-34,$90k-$124k,Outer suburb,Social media,iOS,0,10,293.52,0,3,4.48,1
C00135,Lake City,2022-05-19,35-44,$60k-$89k,Urban core,Referral,Android,0,1,12.85,0,76,4.89,0
C00136,Grand Junction,2023-10-06,65+,$35k-$59k,Outer suburb,Organic,iOS,1,15,451.43,5,29,5.0,0
C00137,Northport,2023-06-05,25-34,$60k-$89k,Inner suburb,Referral,iOS,0,2,33.15,0,51,,0
C00138,Grand Junction,2024-10-16,45-54,$125k+,Inner suburb,Organic,Android,0,19,671.2,2,3,5.0,1
C00139,Lake City,2023-05-05,65+,Under $35k,Urban core,Referral,Android,0,0,0.0,1,268,5.0,0
C00140,Mesa Vista,2022-01-25,25-34,$60k-$89k,Urban core,Partnership,iOS,0,0,0.0,0,164,4.45,0
C00141,Grand Junction,2023-08-08,65+,,Outer suburb,Paid search,iOS,1,1,28.92,0,7,4.95,0
C00142,Grand Junction,2024-11-11,65+,$60k-$89k,Urban core,Paid search,Android,0,7,172.44,4,34,4.57,0
C00143,Riverton,2024-03-15,18-24,$60k-$89k,Urban core,Organic,Android,0,1,16.82,0,49,4.24,0
C00144,Mesa Vista,2023-11-20,45-54,Under $35k,Inner suburb,Referral,iOS,0,2,27.78,1,10,4.96,0
C00145,Lake City,2023-01-18,35-44,$90k-$124k,Inner suburb,Referral,Android,0,5,126.94,1,57,,0
C00146,Lake City,2024-05-17,45-54,$35k-$59k,Inner suburb,Organic,Android,0,0,0.0,0,487,4.88,0
C00147,Lake City,2022-09-09,25-34,Under $35k,Outer suburb,Social media,iOS,1,12,193.07,3,3,4.62,1
C00148,Lake City,2023-05-25,25-34,$90k-$124k,Inner suburb,Organic,Android,0,1,22.16,1,17,4.84,0
C00149,Grand Junction,2022-07-14,25-34,Under $35k,Inner suburb,Paid search,iOS,0,4,64.56,1,5,4.75,0
C00150,Mesa Vista,2022-03-13,18-24,,Inner suburb,Referral,Android,0,12,266.48,2,8,4.14,1
C00151,Northport,2022-06-06,35-44,$125k+,Urban core,Organic,Android,0,26,589.68,3,44,4.42,0
C00152,Northport,2022-10-10,18-24,$35k-$59k,Outer suburb,Referral,Android,0,25,481.67,4,2,5.0,2
C00153,Grand Junction,2023-07-05,55-64,$60k-$89k,Outer suburb,Organic,iOS,0,0,0.0,0,267,5.0,0
C00154,Lake City,2022-06-01,65+,$35k-$59k,Outer suburb,Organic,Android,0,9,172.57,2,3,4.87,0
C00155,Lake City,2024-03-22,35-44,Under $35k,Outer suburb,Partnership,iOS,0,0,0.0,0,415,4.47,0
C00156,Mesa Vista,2024-04-14,35-44,$60k-$89k,Inner suburb,Social media,Android,0,19,405.72,1,48,5.0,1
C00157,Lake City,2023-11-19,35-44,$60k-$89k,Urban core,Referral,iOS,0,3,94.08,0,46,4.43,0
C00158,Riverton,2024-04-02,18-24,Under $35k,Inner suburb,Organic,Android,0,4,77.83,0,32,4.58,0
C00159,Northport,2023-06-03,45-54,$35k-$59k,Inner suburb,Referral,Android,1,18,352.82,2,38,5.0,0
C00160,Northport,2023-07-02,35-44,$35k-$59k,Urban core,Organic,iOS,0,4,86.94,2,13,4.73,0
C00161,Grand Junction,2024-08-29,25-34,$60k-$89k,Urban core,Social media,Android,0,11,255.35,5,23,4.65,1
C00162,Grand Junction,2023-04-10,45-54,$60k-$89k,Urban core,Organic,iOS,0,4,118.51,0,107,4.26,0
C00163,Grand Junction,2023-09-08,35-44,,Inner suburb,Referral,Android,0,3,44.21,2,12,4.82,0
C00164,Riverton,2023-02-21,18-24,$35k-$59k,Inner suburb,Paid search,iOS,1,3,51.24,1,42,4.51,0
C00165,Mesa Vista,2023-03-20,45-54,Under $35k,Urban core,Social media,iOS,1,2,23.49,0,29,4.79,0
C00166,Lake City,2022-12-20,18-24,$60k-$89k,Urban core,Referral,iOS,0,19,393.12,3,12,4.92,0
C00167,Lake City,2022-07-15,35-44,$125k+,Outer suburb,Organic,iOS,0,3,66.64,0,14,4.16,0
C00168,Riverton,2022-04-08,18-24,Under $35k,Urban core,Organic,Android,0,0,0.0,0,167,5.0,0
C00169,Riverton,2023-10-08,25-34,$60k-$89k,Urban core,Organic,Android,0,1,22.17,0,1,4.73,0
C00170,Mesa Vista,2023-11-30,35-44,$60k-$89k,Inner suburb,Partnership,Android,0,1,30.22,0,5,4.83,0
C00171,Mesa Vista,2022-02-06,45-54,$35k-$59k,Inner suburb,Referral,Android,0,2,58.04,0,17,4.86,0
C00172,Mesa Vista,2024-08-11,35-44,$35k-$59k,Urban core,Social media,iOS,0,1,20.02,0,26,4.41,0
C00173,Grand Junction,2022-09-04,55-64,Under $35k,Inner suburb,Social media,iOS,0,1,17.35,0,73,4.4,0
C00174,Riverton,2023-11-29,65+,Under $35k,Inner suburb,Referral,Android,0,19,300.78,0,62,4.64,0
C00175,Northport,2023-12-29,25-34,$60k-$89k,Inner suburb,Social media,Android,0,1,21.49,0,14,4.58,0
C00176,Mesa Vista,2022-05-13,55-64,$35k-$59k,Urban core,Organic,Android,0,4,88.25,1,63,5.0,0
C00177,Lake City,2022-09-10,35-44,$35k-$59k,Inner suburb,Referral,iOS,0,6,120.8,2,11,4.66,0
C00178,Lake City,2023-01-26,45-54,$125k+,Urban core,Organic,iOS,0,5,154.06,1,10,4.79,0
C00179,Lake City,2024-11-10,65+,$60k-$89k,Urban core,Social media,iOS,0,10,258.28,3,31,4.55,0
C00180,Riverton,2024-12-13,45-54,$60k-$89k,Outer suburb,Paid search,Android,0,10,288.55,1,15,4.28,1
C00181,Lake City,2023-11-07,25-34,Under $35k,Outer suburb,Organic,iOS,0,2,48.41,0,27,4.63,0
C00182,Lake City,2024-09-01,18-24,,Inner suburb,Social media,Android,0,5,54.01,2,3,4.74,0
C00183,Lake City,2023-09-19,45-54,$60k-$89k,Urban core,Organic,iOS,0,3,78.96,0,42,4.8,0
C00184,Mesa Vista,2024-02-02,35-44,$125k+,Urban core,Partnership,Android,1,30,502.41,3,15,4.82,2
C00185,Lake City,2023-08-20,25-34,$125k+,Urban core,Referral,iOS,0,1,21.99,1,22,4.7,0
C00186,Northport,2022-04-11,35-44,$60k-$89k,Inner suburb,Organic,iOS,0,2,68.15,0,4,4.7,0
C00187,Grand Junction,2022-03-02,25-34,$90k-$124k,Outer suburb,Social media,iOS,0,13,221.84,6,40,4.97,1
C00188,Grand Junction,2024-07-05,35-44,$90k-$124k,Outer suburb,Organic,iOS,0,18,381.64,1,65,4.63,1
C00189,Riverton,2024-08-20,65+,Under $35k,Urban core,Partnership,iOS,0,8,169.38,1,5,4.72,0
C00190,Lake City,2022-06-04,18-24,$60k-$89k,Outer suburb,Referral,Android,0,5,122.51,1,13,5.0,0
C00191,Grand Junction,2023-09-19,25-34,Under $35k,Urban core,Organic,iOS,1,6,101.1,3,11,4.8,0
C00192,Riverton,2024-03-30,65+,$35k-$59k,Outer suburb,Organic,Android,0,7,155.36,2,15,4.62,0
C00193,Northport,2022-03-26,25-34,$35k-$59k,Outer suburb,Organic,iOS,0,10,195.35,1,11,4.35,0
C00194,Riverton,2022-12-21,65+,$35k-$59k,Inner suburb,Organic,iOS,0,18,356.4,3,17,5.0,0
C00195,Mesa Vista,2024-02-25,45-54,$90k-$124k,Inner suburb,Organic,Android,0,4,88.53,2,9,4.54,0
C00196,Mesa Vista,2024-11-02,35-44,$60k-$89k,Urban core,Social media,Android,1,12,244.8,1,2,4.71,0
C00197,Mesa Vista,2024-04-04,45-54,$35k-$59k,Outer suburb,Paid search,Android,0,2,56.92,0,16,4.95,0
C00198,Northport,2022-11-12,35-44,$90k-$124k,Outer suburb,Social media,iOS,0,4,106.66,1,21,4.74,0
C00199,Mesa Vista,2023-10-08,35-44,$35k-$59k,Inner suburb,Social media,iOS,0,1,18.5,1,27,5.0,0
C00200,Grand Junction,2022-11-24,18-24,$35k-$59k,Inner suburb,Organic,iOS,0,7,142.8,0,10,4.75,0
C00201,Grand Junction,2024-02-03,18-24,$90k-$124k,Inner suburb,Organic,iOS,1,6,127.98,1,8,4.66,0
C00202,Northport,2023-06-21,25-34,$90k-$124k,Urban core,Organic,iOS,1,9,175.65,2,6,5.0,0
C00203,Northport,2022-01-07,45-54,$35k-$59k,Inner suburb,Referral,iOS,0,0,0.0,1,266,4.81,0
C00204,Lake City,2022-04-05,65+,,Inner suburb,Partnership,iOS,0,8,230.99,3,20,5.0,1
C00205,Mesa Vista,2022-07-15,45-54,$35k-$59k,Outer suburb,Partnership,Android,0,5,100.03,1,11,4.87,0
C00206,Mesa Vista,2022-07-19,35-44,$60k-$89k,Inner suburb,Organic,iOS,0,8,110.11,2,6,4.7,1
C00207,Northport,2023-02-25,35-44,$125k+,Inner suburb,Referral,Android,1,2,51.03,0,10,4.86,0
C00208,Riverton,2022-11-14,55-64,Under $35k,Outer suburb,Referral,Android,0,3,44.48,1,14,4.32,0
C00209,Lake City,2024-11-26,55-64,$60k-$89k,Outer suburb,Partnership,Android,1,14,259.07,3,5,4.57,0
C00210,Mesa Vista,2024-11-27,65+,$35k-$59k,Urban core,Organic,Android,0,15,323.19,2,14,4.16,0
C00211,Northport,2022-10-02,25-34,$35k-$59k,Urban core,Referral,Android,0,7,164.65,1,10,5.0,1
C00212,Mesa Vista,2023-07-03,25-34,$35k-$59k,Inner suburb,Partnership,iOS,0,7,206.6,2,110,5.0,0
C00213,Lake City,2023-11-28,18-24,$35k-$59k,Urban core,Paid search,iOS,0,15,299.43,2,2,,1
C00214,Lake City,2024-02-10,18-24,,Outer suburb,Partnership,iOS,0,5,166.81,2,12,4.89,0
C00215,Mesa Vista,2023-06-06,35-44,$90k-$124k,Inner suburb,Referral,Android,0,8,204.0,0,78,5.0,1
C00216,Mesa Vista,2023-07-28,25-34,$125k+,Inner suburb,Organic,iOS,0,7,127.62,0,1,4.1,0
C00217,Northport,2022-11-25,45-54,$35k-$59k,Inner suburb,Referral,iOS,0,2,45.81,1,10,4.43,0
C00218,Grand Junction,2023-03-11,35-44,$125k+,Urban core,Organic,Android,1,3,44.39,1,38,4.66,0
C00219,Northport,2022-09-25,25-34,$60k-$89k,Inner suburb,Social media,iOS,0,4,65.91,0,75,5.0,0
C00220,Riverton,2022-07-13,25-34,Under $35k,Outer suburb,Organic,iOS,0,1,28.3,0,20,4.65,0
C00221,Grand Junction,2024-01-31,35-44,$60k-$89k,Urban core,Organic,iOS,0,4,102.86,1,1,5.0,0
C00222,Lake City,2023-11-11,25-34,$60k-$89k,Inner suburb,Organic,iOS,0,34,811.54,1,49,4.32,0
C00223,Riverton,2023-07-14,45-54,$60k-$89k,Urban core,Organic,iOS,0,9,172.73,3,3,4.79,0
C00224,Mesa Vista,2022-09-23,35-44,Under $35k,Urban core,Organic,Android,0,5,112.86,3,55,,0
C00225,Riverton,2024-04-07,45-54,$60k-$89k,Urban core,Social media,Android,0,9,216.04,1,47,4.74,0
C00226,Lake City,2024-07-20,55-64,$60k-$89k,Urban core,Organic,Android,0,3,43.52,2,5,4.92,1
C00227,Northport,2022-12-20,25-34,$35k-$59k,Inner suburb,Social media,iOS,0,0,0.0,0,121,4.74,0
C00228,Mesa Vista,2022-11-22,35-44,$60k-$89k,Inner suburb,Organic,iOS,0,3,58.08,1,11,4.84,0
C00229,Lake City,2022-07-31,45-54,Under $35k,Urban core,Referral,iOS,0,5,98.36,1,25,4.7,1
C00230,Riverton,2024-06-21,45-54,Under $35k,Inner suburb,Social media,iOS,0,1,17.52,1,48,4.76,0
C00231,Riverton,2023-07-03,25-34,,Inner suburb,Organic,Android,0,18,414.3,1,1,5.0,0
C00232,Grand Junction,2024-09-20,65+,Under $35k,Inner suburb,Partnership,Android,0,1,25.01,1,16,4.44,0
C00233,Northport,2023-03-07,45-54,$125k+,Urban core,Paid search,Android,1,13,302.67,0,5,,1
