ride_id,customer_id,request_date,request_hour,day_of_week,weekend,market,trip_type,distance_miles,estimated_duration_min,standard_estimated_wait_min,priority_eligible,priority_estimated_wait_min,priority_surcharge,priority_selected,temperature_f,rain,snow,high_demand,service_disruption,surge_multiplier,quoted_fare,campaign_id,campaign_treatment,campaign_offer_applied,discount_amount,ride_credit_earned,amount_paid,completed,customer_cancelled,driver_cancelled,actual_wait_min,actual_duration_min,driver_id,driver_experience_months,driver_rating_before_ride,vehicle_quality,customer_rating,complaint
R000011,C11924,2025-12-29,14,Monday,0,Northport,Leisure,2.3,7.8,5.5,0,,,0,44.2,0,0,0,0,1.0,10.29,,,0,0.0,0.0,10.29,1,0,0,6.3,6.8,D0059,57,4.87,Standard,5,0
R000012,C06704,2025-06-03,13,Tuesday,0,Riverton,Commute,7.2,20.0,6.8,0,,,0,84.8,1,0,0,1,1.0,20.36,WINBACK_2025_06,$5 off,1,5.0,0.0,15.36,1,0,0,12.3,24.7,D0444,33,4.95,Standard,,0
R000013,C00175,2025-01-18,11,Saturday,1,Northport,Commute,2.3,6.4,5.8,0,,,0,59.8,0,0,0,0,1.0,9.99,,,0,0.0,0.0,9.99,1,0,0,5.9,7.1,D1380,18,4.83,Comfort,4,0
R000014,C05539,2025-12-20,10,Saturday,1,Riverton,Errand,4.6,14.9,6.5,0,,,0,28.3,0,0,1,0,1.25,18.42,,,0,0.0,0.0,18.42,1,0,0,7.0,16.1,D0798,6,4.79,Standard,4,0
R000015,C05318,2025-04-24,19,Thursday,0,Riverton,Commute,21.4,54.0,6.0,1,1.2,4.0,0,76.6,1,0,0,0,1.0,52.4,,,0,0.0,0.0,0.0,0,1,0,9.7,62.0,D0659,3,4.8,Standard,,0
R000016,C05719,2025-07-26,8,Saturday,1,Mesa Vista,Airport,12.7,28.3,5.5,0,,,0,65.3,0,0,0,0,1.0,34.5,,,0,0.0,0.0,34.5,1,0,0,5.2,28.5,D0896,24,5.0,Standard,5,0
R000017,C10054,2025-12-03,9,Wednesday,0,Lake City,Airport,10.2,29.4,4.6,0,,,0,39.5,0,0,0,0,1.0,29.71,,,0,0.0,0.0,29.71,1,0,0,5.9,33.1,D0184,41,4.85,Comfort,5,0
R000018,C03269,2025-12-22,21,Monday,0,Grand Junction,Airport,8.6,18.9,7.6,0,,,0,38.1,0,0,0,0,1.0,23.14,,,0,0.0,0.0,23.14,1,0,0,9.1,22.1,D1025,8,4.67,Standard,5,0
R000019,C07207,2025-08-22,8,Friday,0,Grand Junction,Business,1.7,9.9,5.8,0,,,0,65.2,0,0,0,0,1.0,9.22,,,0,0.0,0.0,9.22,1,0,0,6.1,14.6,D0892,17,4.84,Standard,5,0
R000020,C02599,2025-06-24,2,Tuesday,0,Mesa Vista,Errand,6.4,13.3,6.0,0,,,0,96.4,0,0,0,0,1.0,20.3,WINBACK_2025_06,20% off,0,0.0,0.0,20.3,1,0,0,6.2,14.9,D0104,6,4.78,Standard,5,0
R000021,C09122,2025-02-03,11,Monday,0,Northport,Leisure,7.2,18.2,6.6,0,,,0,35.7,0,0,0,0,1.0,21.06,,,0,0.0,0.0,21.06,1,0,0,5.3,22.8,D0055,47,4.91,Standard,,0
R000022,C01027,2025-02-07,10,Friday,0,Northport,Airport,10.6,25.3,8.4,0,,,0,32.0,0,1,0,0,1.0,28.5,,,0,0.0,0.0,28.5,1,0,0,8.6,27.9,D0260,11,4.84,Standard,5,0
R000023,C11803,2025-05-31,16,Saturday,1,Grand Junction,Leisure,2.5,9.4,8.5,0,,,0,80.3,0,0,1,0,1.4,14.69,,,0,0.0,0.0,14.69,1,0,0,6.0,8.2,D0308,26,4.87,Standard,,0
R000024,C05889,2025-12-03,10,Wednesday,0,Lake City,Errand,3.1,6.3,5.9,0,,,0,25.8,1,0,0,0,1.0,12.35,,,0,0.0,0.0,12.35,1,0,0,9.4,13.9,D0676,16,4.75,Comfort,4,0
R000025,C08822,2025-10-31,7,Friday,0,Riverton,Airport,35.3,86.9,5.8,0,,,0,65.7,0,0,0,0,1.0,83.69,,,0,0.0,0.0,0.0,0,1,0,5.9,88.4,D0794,16,4.8,Comfort,,0
R000026,C09395,2025-04-05,10,Saturday,1,Lake City,Errand,3.8,15.4,7.4,1,1.2,2.0,0,49.4,0,0,1,0,1.6,24.9,,,0,0.0,0.0,24.9,1,0,0,7.4,17.3,D1474,22,4.81,Standard,,0
R000027,C00753,2025-12-20,13,Saturday,1,Northport,Airport,11.4,26.2,7.6,1,1.2,6.0,0,28.1,0,1,0,0,1.0,30.09,,,0,0.0,0.0,30.09,1,0,0,9.2,28.4,D0535,31,5.0,Standard,,0
R000028,C07588,2025-01-17,20,Friday,0,Riverton,Business,5.5,18.8,9.6,0,,,0,43.6,0,1,0,0,1.0,17.15,,,0,0.0,0.0,17.15,1,0,0,11.9,20.0,D1228,34,4.65,Comfort,5,0
R000029,C11435,2025-11-09,10,Sunday,1,Northport,Airport,19.5,43.3,4.8,1,1.2,5.0,1,51.5,0,0,0,1,1.0,47.86,,,0,0.0,0.0,52.86,1,0,0,6.8,41.0,D0491,19,4.86,Standard,4,0
R000030,C03046,2025-07-11,20,Friday,0,Lake City,Leisure,9.1,24.2,8.5,0,,,0,91.8,1,0,0,0,1.0,26.67,,,0,0.0,0.0,26.67,1,0,0,11.2,25.4,D1230,17,4.65,Standard,,0
R000031,C05926,2025-11-30,22,Sunday,1,Lake City,Errand,12.6,29.4,5.3,0,,,0,41.6,0,0,0,0,1.0,33.87,,,0,0.0,0.0,33.87,1,0,0,4.0,27.5,D1193,15,4.72,Standard,5,0
R000032,C03205,2025-10-29,17,Wednesday,0,Grand Junction,Errand,9.4,26.4,8.4,0,,,0,61.5,1,0,1,0,1.25,32.71,,,0,0.0,0.0,32.71,1,0,0,12.2,31.4,D0294,10,4.81,Comfort,5,0
R000033,C02640,2025-01-05,15,Sunday,1,Lake City,Commute,3.4,12.2,7.0,0,,,0,34.2,0,0,1,0,1.4,19.83,,,0,0.0,0.0,19.83,1,0,0,7.3,16.1,D1708,30,4.84,Standard,4,0
R000034,C00005,2025-10-06,12,Monday,0,Lake City,Commute,7.2,16.3,10.0,0,,,0,51.9,0,0,0,0,1.0,21.64,,,0,0.0,0.0,0.0,0,0,1,11.9,17.4,D1292,51,4.81,Standard,,0
R000035,C10451,2025-07-13,12,Sunday,1,Mesa Vista,Commute,6.0,14.5,5.2,1,1.9,3.0,1,75.0,0,0,0,0,1.0,19.87,,,0,0.0,0.0,22.87,1,0,0,1.1,17.6,D0313,9,4.6,Comfort,,0
R000036,C05618,2025-05-03,0,Saturday,1,Northport,Errand,1.2,4.0,12.4,0,,,0,81.6,0,0,1,0,1.6,12.09,,,0,0.0,0.0,12.09,1,0,0,12.2,7.4,D0627,4,4.59,Comfort,5,0
R000037,C03259,2025-12-04,7,Thursday,0,Mesa Vista,Leisure,9.8,26.2,8.6,0,,,0,37.9,1,0,1,0,1.25,36.27,,,0,0.0,0.0,36.27,1,0,0,9.3,28.3,D0655,9,4.94,Premium,5,0
R000038,C09793,2025-08-20,17,Wednesday,0,Northport,Airport,11.2,33.7,5.2,0,,,0,78.5,0,0,0,0,1.0,31.39,,,0,0.0,0.0,31.39,1,0,0,6.3,37.2,D0408,13,4.76,Comfort,,0
R000039,C07292,2025-04-13,10,Sunday,1,Northport,Commute,7.0,19.6,6.6,0,,,0,51.2,0,0,0,0,1.0,21.02,,,0,0.0,0.0,21.02,1,0,0,5.2,24.5,D0094,15,4.69,Standard,,0
R000040,C01573,2025-06-19,22,Thursday,0,Riverton,Commute,2.0,10.7,4.4,1,1.2,2.0,1,79.4,0,0,0,0,1.0,9.31,WINBACK_2025_06,20% off,0,0.0,0.0,11.31,1,0,0,0.8,13.2,D0469,25,4.85,Standard,5,0
R000041,C08445,2025-12-01,7,Monday,0,Lake City,Business,8.4,22.3,9.3,0,,,0,28.7,0,0,1,0,1.25,31.3,,,0,0.0,0.0,31.3,1,0,0,13.0,28.3,D1434,27,4.78,Standard,,0
R000042,C06435,2025-12-02,0,Tuesday,0,Mesa Vista,Commute,2.7,4.0,12.8,0,,,0,25.9,0,1,0,1,1.0,11.85,,,0,0.0,0.0,11.85,1,0,0,20.9,10.6,D1369,7,4.85,Standard,3,0
R000043,C11785,2025-08-21,10,Thursday,0,Mesa Vista,Leisure,5.2,11.5,6.4,1,1.2,2.0,0,62.6,1,0,0,0,1.0,17.83,,,0,0.0,0.0,17.83,1,0,0,10.7,15.5,D0084,4,4.78,Standard,,0
R000044,C01736,2025-05-10,9,Saturday,1,Lake City,Leisure,5.6,15.4,10.0,1,5.1,5.0,0,66.8,0,0,1,0,1.25,23.34,,,0,0.0,0.0,23.34,1,0,0,6.2,13.9,D0066,11,4.74,Standard,,0
R000045,C05818,2025-06-24,17,Tuesday,0,Grand Junction,Errand,3.3,16.0,6.7,0,,,0,67.1,0,0,0,0,1.0,13.33,WINBACK_2025_06,20% off,0,0.0,0.0,13.33,1,0,0,8.4,18.7,D0423,31,4.67,Standard,5,0
R000046,C02622,2025-04-07,13,Monday,0,Lake City,Commute,2.6,8.4,6.8,0,,,0,61.6,0,0,0,0,1.0,11.95,,,0,0.0,0.0,11.95,1,0,0,5.6,9.6,D1707,29,4.65,Standard,,0
R000047,C05851,2025-11-27,7,Thursday,0,Lake City,Airport,9.9,26.7,8.2,0,,,0,34.5,1,0,1,0,1.25,35.75,,,0,0.0,0.0,0.0,0,1,0,11.0,30.8,D1370,16,4.68,Comfort,,0
R000048,C06916,2025-01-30,17,Thursday,0,Mesa Vista,Errand,5.8,18.8,5.6,1,1.2,3.0,1,27.1,0,0,0,0,1.0,20.47,,,0,0.0,0.0,23.47,1,0,0,3.5,21.6,D0370,9,4.91,Standard,5,0
R000049,C08711,2025-01-15,17,Wednesday,0,Northport,Errand,5.5,17.4,6.0,0,,,0,34.4,0,0,0,0,1.0,17.94,,,0,0.0,0.0,17.94,1,0,0,6.3,23.5,D0142,16,4.79,Standard,,0
R000050,C04139,2025-10-27,16,Monday,0,Riverton,Errand,11.1,28.3,6.4,0,,,0,64.5,0,0,0,0,1.0,28.93,,,0,0.0,0.0,28.93,1,0,0,7.2,29.8,D0910,23,4.99,Standard,5,0
R000051,C00109,2025-12-15,20,Monday,0,Grand Junction,Commute,5.5,14.0,4.6,1,1.2,5.0,1,35.1,0,0,0,0,1.0,16.7,,,0,0.0,0.0,21.7,1,0,0,0.8,17.5,D0207,45,4.79,Standard,,0
R000052,C11257,2025-08-11,12,Monday,0,Riverton,Errand,8.8,22.3,7.0,0,,,0,74.0,0,0,0,0,1.0,23.63,,,0,0.0,0.0,23.63,1,0,0,6.2,19.9,D0439,31,4.86,Comfort,5,0
R000053,C11515,2025-04-07,11,Monday,0,Grand Junction,Errand,6.2,19.3,4.9,1,1.2,6.0,1,46.9,0,0,0,0,1.0,19.07,,,0,0.0,0.0,25.07,1,0,0,0.8,16.4,D0818,9,4.93,Standard,,0
R000054,C10829,2025-10-15,15,Wednesday,0,Lake City,Errand,4.5,10.2,5.2,0,,,0,63.0,0,0,0,0,1.0,15.63,,,0,0.0,0.0,15.63,1,0,0,9.1,9.8,D1609,27,4.68,Comfort,4,0
R000055,C07903,2025-06-16,8,Monday,0,Lake City,Airport,18.8,43.3,5.8,0,,,0,86.4,1,0,0,0,1.0,47.65,WINBACK_2025_06,20% off,0,0.0,0.0,0.0,0,1,0,9.4,42.4,D0977,11,4.86,Standard,,0
R000056,C06873,2025-03-14,4,Friday,0,Mesa Vista,Leisure,11.2,29.2,5.4,0,,,0,43.8,0,0,0,0,1.0,32.1,,,0,0.0,0.0,32.1,1,0,0,6.3,27.6,D0769,22,4.76,Standard,5,0
R000057,C05851,2025-01-16,19,Thursday,0,Lake City,Errand,3.3,12.6,7.3,0,,,0,31.5,0,0,1,0,1.25,17.6,,,0,0.0,0.0,17.6,1,0,0,5.0,16.5,D1103,57,4.92,Standard,,0
R000058,C02429,2025-03-12,0,Wednesday,0,Lake City,Commute,11.5,24.0,12.0,0,,,0,35.5,1,1,0,0,1.0,30.78,,,0,0.0,0.0,30.78,1,0,0,16.1,25.3,D0950,30,4.84,Standard,3,0
R000059,C05463,2025-02-17,19,Monday,0,Grand Junction,Airport,32.0,81.3,7.7,0,,,0,39.2,0,0,0,0,1.0,77.35,,,0,0.0,0.0,77.35,1,0,0,8.8,85.1,D0945,6,4.68,Standard,4,0
R000060,C09678,2025-10-17,19,Friday,0,Northport,Errand,11.4,23.8,7.1,0,,,0,53.9,0,0,0,0,1.0,29.56,,,0,0.0,0.0,29.56,1,0,0,8.0,22.3,D1515,21,4.6,Standard,,0
R000061,C08946,2025-05-15,18,Thursday,0,Northport,Airport,17.0,44.2,13.6,0,,,0,68.1,0,0,1,0,1.4,61.23,,,0,0.0,0.0,0.0,0,1,0,12.8,47.4,D1370,31,4.76,Standard,,0
R000062,C08510,2025-07-23,21,Wednesday,0,Lake City,Leisure,2.9,7.3,4.7,0,,,0,98.7,0,0,0,0,1.0,12.22,,,0,0.0,0.0,12.22,1,0,0,7.5,12.3,D1683,28,4.93,Standard,,0
R000063,C04170,2025-10-08,15,Wednesday,0,Lake City,Errand,5.8,13.8,5.4,0,,,0,50.2,0,0,0,0,1.0,18.67,,,0,0.0,0.0,18.67,1,0,0,5.4,14.5,D1761,13,4.78,Standard,5,0
R000064,C08374,2025-05-01,21,Thursday,0,Mesa Vista,Airport,15.6,35.7,5.7,0,,,0,79.2,0,0,0,0,1.0,41.14,,,0,0.0,0.0,41.14,1,0,0,7.2,35.2,D1136,47,4.86,Comfort,5,0
R000065,C09974,2025-03-22,6,Saturday,1,Grand Junction,Errand,2.1,5.3,8.2,1,1.9,2.0,1,57.9,0,0,0,0,1.0,8.9,,,0,0.0,0.0,10.9,1,0,0,2.5,6.2,D1579,7,4.7,Premium,4,0
R000066,C02039,2025-02-11,12,Tuesday,0,Lake City,Errand,16.2,33.3,6.5,0,,,0,29.2,0,0,0,0,1.0,40.95,,,0,0.0,0.0,40.95,1,0,0,7.4,31.7,D1381,32,4.83,Standard,,0
R000067,C00159,2025-09-15,9,Monday,0,Northport,Business,4.5,12.0,6.3,0,,,0,70.8,0,0,0,0,1.0,15.02,,,0,0.0,0.0,15.02,1,0,0,8.3,14.8,D0077,7,4.61,Standard,5,0
R000068,C06245,2025-11-24,6,Monday,0,Grand Junction,Airport,9.0,23.6,6.1,0,,,0,57.3,1,0,0,0,1.0,24.86,,,0,0.0,0.0,24.86,1,0,0,7.6,26.4,D1348,2,4.67,Standard,,0
R000069,C09667,2025-04-26,17,Saturday,1,Mesa Vista,Airport,17.9,47.0,4.9,0,,,0,52.5,0,0,0,0,1.0,47.61,,,0,0.0,0.0,47.61,1,0,0,5.9,51.5,D1623,19,4.6,Comfort,5,0
R000070,C09171,2025-08-11,15,Monday,0,Grand Junction,Commute,11.5,26.3,6.8,0,,,0,87.9,0,0,0,0,1.0,29.78,,,0,0.0,0.0,29.78,1,0,0,10.4,35.9,D1632,15,4.57,Comfort,,0
R000071,C02603,2025-10-08,22,Wednesday,0,Mesa Vista,Errand,8.0,19.9,8.3,0,,,0,68.1,0,0,0,0,1.0,24.52,,,0,0.0,0.0,24.52,1,0,0,12.1,21.2,D1366,15,4.87,Standard,,0
R000072,C08252,2025-03-03,22,Monday,0,Lake City,Leisure,5.3,12.7,5.6,0,,,0,44.4,0,0,0,0,1.0,17.56,,,0,0.0,0.0,17.56,1,0,0,7.4,14.1,D0121,18,4.78,Standard,5,0
R000073,C09839,2025-04-04,21,Friday,0,Northport,Commute,10.2,21.9,9.2,0,,,0,64.0,0,0,0,0,1.0,27.06,,,0,0.0,0.0,27.06,1,0,0,11.5,18.8,D1673,13,4.72,Standard,5,0
R000074,C04323,2025-04-15,17,Tuesday,0,Grand Junction,Commute,16.9,45.0,9.7,0,,,0,71.3,0,0,1,0,1.4,60.53,,,0,0.0,0.0,60.53,1,0,0,9.4,48.8,D0360,12,4.92,Standard,4,0
R000075,C00735,2025-05-05,13,Monday,0,Grand Junction,Errand,2.7,13.3,4.5,0,,,0,72.1,0,0,0,0,1.0,11.7,,,0,0.0,0.0,11.7,1,0,0,5.2,15.4,D0484,9,4.89,Standard,5,0
R000076,C01479,2025-07-27,18,Sunday,1,Lake City,Errand,2.4,7.4,5.9,0,,,0,85.4,0,0,0,0,1.0,11.38,,,0,0.0,0.0,11.38,1,0,0,6.8,9.8,D1253,28,4.98,Standard,5,0
R000077,C08827,2025-04-23,13,Wednesday,0,Mesa Vista,Leisure,4.1,10.6,8.1,1,4.1,7.0,0,76.8,0,0,0,0,1.0,15.72,,,0,0.0,0.0,15.72,1,0,0,8.2,11.0,D1351,25,4.71,Comfort,5,0
R000078,C08888,2025-04-04,18,Friday,0,Riverton,Business,5.8,17.8,7.4,0,,,0,49.5,0,0,0,0,1.0,17.45,,,0,0.0,0.0,17.45,1,0,0,9.4,21.8,D1520,12,4.72,Comfort,5,0
R000079,C03448,2025-05-30,20,Friday,0,Riverton,Leisure,2.9,9.9,8.3,0,,,0,60.7,0,0,0,0,1.0,10.69,,,0,0.0,0.0,10.69,1,0,0,7.8,14.1,D1162,9,5.0,Standard,,0
R000080,C00484,2025-12-05,8,Friday,0,Riverton,Commute,8.2,21.9,5.9,0,,,0,11.8,0,0,0,0,1.0,22.5,,,0,0.0,0.0,22.5,1,0,0,6.5,22.0,D1745,63,4.66,Premium,4,0
R000081,C05766,2025-07-28,23,Monday,0,Mesa Vista,Airport,28.8,61.6,8.8,0,,,0,62.3,0,0,1,0,1.15,80.13,,,0,0.0,0.0,80.13,1,0,0,12.0,63.7,D0635,34,4.66,Standard,5,0
R000082,C09587,2025-08-02,14,Saturday,1,Lake City,Airport,15.9,38.3,7.6,1,1.2,3.0,0,72.0,0,0,0,0,1.0,41.53,,,0,0.0,0.0,41.53,1,0,0,11.2,37.3,D0631,18,4.78,Standard,5,0
R000083,C11881,2025-09-26,4,Friday,0,Riverton,Leisure,10.6,25.4,8.1,1,1.2,2.0,1,90.1,1,0,0,0,1.0,27.43,,,0,0.0,0.0,29.43,1,0,0,5.3,24.8,D1330,22,4.77,Premium,5,0
R000084,C04373,2025-05-18,0,Sunday,1,Mesa Vista,Airport,12.1,27.8,7.9,0,,,0,84.1,1,0,0,0,1.0,33.35,,,0,0.0,0.0,33.35,1,0,0,10.1,27.2,D1281,42,4.71,Standard,,0
R000085,C00205,2025-04-29,8,Tuesday,0,Mesa Vista,Commute,7.7,23.3,7.9,0,,,0,47.7,0,0,1,0,1.6,39.6,,,0,0.0,0.0,39.6,1,0,0,8.2,22.4,D0396,9,4.85,Premium,,0
R000086,C04995,2025-01-18,11,Saturday,1,Lake City,Errand,10.3,27.3,8.7,0,,,0,49.5,0,1,0,0,1.0,29.43,,,0,0.0,0.0,29.43,1,0,0,8.4,23.9,D1610,36,4.68,Comfort,5,0
R000087,C05431,2025-01-07,13,Tuesday,0,Lake City,Commute,8.7,18.1,8.3,0,,,0,39.4,1,1,0,0,1.0,24.63,,,0,0.0,0.0,24.63,1,0,0,10.8,21.8,D1015,19,4.9,Standard,,0
R000088,C05775,2025-03-19,11,Wednesday,0,Grand Junction,Airport,11.5,27.9,8.4,0,,,0,45.1,0,0,0,0,1.0,30.13,,,0,0.0,0.0,30.13,1,0,0,9.8,24.8,D0132,27,4.65,Premium,5,0
R000089,C00283,2025-09-07,18,Sunday,1,Riverton,Commute,3.8,12.7,6.8,0,,,0,69.2,1,0,0,0,1.0,12.87,,,0,0.0,0.0,12.87,1,0,0,8.5,19.1,D1250,22,4.88,Standard,5,0
R000090,C04867,2025-06-17,7,Tuesday,0,Lake City,Errand,3.8,14.2,8.7,0,,,0,95.5,1,0,1,0,1.6,24.48,WINBACK_2025_06,20% off,0,0.0,0.0,0.0,0,0,1,10.1,18.0,D1495,16,4.74,Standard,,0
R000091,C02191,2025-02-07,20,Friday,0,Northport,Commute,7.5,19.6,8.0,0,,,0,37.2,0,0,0,0,1.0,21.89,,,0,0.0,0.0,21.89,1,0,0,7.6,22.9,D0780,2,4.76,Standard,,0
R000092,C03557,2025-02-28,19,Friday,0,Northport,Leisure,1.6,9.4,9.0,0,,,0,37.7,0,1,0,0,1.0,9.44,,,0,0.0,0.0,9.44,1,0,0,10.3,9.3,D1670,3,4.74,Standard,5,0
R000093,C09018,2025-10-03,17,Friday,0,Riverton,Airport,16.3,41.4,9.0,1,1.7,6.0,0,64.1,0,0,1,0,1.25,51.01,,,0,0.0,0.0,51.01,1,0,0,10.6,54.9,D0393,18,4.72,Standard,5,0
R000094,C05769,2025-10-12,7,Sunday,1,Northport,Commute,4.6,13.4,6.9,0,,,0,62.4,1,0,0,0,1.0,15.51,,,0,0.0,0.0,15.51,1,0,0,10.6,17.0,D1667,16,4.85,Standard,5,0
R000095,C01766,2025-01-11,20,Saturday,1,Northport,Errand,6.3,16.3,10.3,1,2.3,5.0,0,37.4,1,0,1,0,1.25,23.86,,,0,0.0,0.0,23.86,1,0,0,14.1,16.9,D1126,5,4.6,Standard,,0
R000096,C07511,2025-11-09,19,Sunday,1,Lake City,Leisure,2.8,13.1,8.5,0,,,0,60.9,0,0,1,0,1.15,15.32,,,0,0.0,0.0,15.32,1,0,0,9.2,20.7,D1632,18,4.87,Comfort,5,0
R000097,C10120,2025-03-23,8,Sunday,1,Northport,Commute,6.5,22.1,4.6,1,1.2,2.0,1,55.8,0,0,0,0,1.0,20.71,,,0,0.0,0.0,22.71,1,0,0,0.8,22.8,D1488,10,4.9,Standard,5,0
R000098,C10766,2025-08-24,4,Sunday,1,Grand Junction,Commute,6.9,16.8,6.2,0,,,0,94.8,0,0,0,0,1.0,19.73,,,0,0.0,0.0,19.73,1,0,0,10.1,18.2,D0243,9,4.9,Comfort,4,0
R000099,C07854,2025-12-04,20,Thursday,0,Mesa Vista,Leisure,5.3,17.8,7.3,0,,,0,37.9,1,0,0,0,1.0,19.39,,,0,0.0,0.0,19.39,1,0,0,11.2,18.3,D0109,27,4.58,Standard,5,0
R000100,C04637,2025-03-25,14,Tuesday,0,Lake City,Business,6.2,14.4,12.2,0,,,0,55.5,0,0,1,0,1.4,27.29,,,0,0.0,0.0,0.0,0,1,0,15.8,17.6,D0953,20,4.62,Standard,,0
R000101,C10513,2025-08-01,12,Friday,0,Northport,Errand,7.8,22.7,9.2,0,,,0,99.2,0,0,1,0,1.25,28.86,,,0,0.0,0.0,28.86,1,0,0,9.2,21.3,D0295,4,4.83,Standard,5,0
R000102,C04853,2025-09-06,14,Saturday,1,Lake City,Errand,10.9,25.1,6.0,1,1.2,5.0,0,88.0,0,0,0,0,1.0,29.98,,,0,0.0,0.0,29.98,1,0,0,8.0,24.1,D1471,1,4.69,Standard,5,0
R000103,C09036,2025-01-20,8,Monday,0,Mesa Vista,Commute,3.1,10.1,13.5,0,,,0,34.5,0,1,1,0,1.4,19.44,,,0,0.0,0.0,19.44,1,0,0,13.5,14.1,D0981,32,4.71,Standard,5,0
R000104,C02200,2025-03-15,6,Saturday,1,Northport,Leisure,3.1,9.8,6.4,0,,,0,33.1,0,0,0,0,1.0,12.12,,,0,0.0,0.0,12.12,1,0,0,5.7,10.2,D1024,12,4.82,Standard,5,0
R000105,C07529,2025-06-28,13,Saturday,1,Lake City,Errand,5.1,18.5,7.3,1,1.7,4.0,1,81.0,0,0,0,0,1.0,18.49,WINBACK_2025_06,$5 off,0,0.0,0.0,22.49,1,0,0,3.3,17.9,D0239,36,4.94,Standard,5,0
R000106,C11894,2025-01-05,10,Sunday,1,Northport,Commute,9.9,21.3,4.6,1,1.2,4.0,0,49.3,0,0,0,0,1.0,26.41,,,0,0.0,0.0,26.41,1,0,0,5.6,28.9,D1351,3,4.63,Standard,4,1
R000107,C00514,2025-02-07,9,Friday,0,Mesa Vista,Errand,4.0,14.4,9.9,1,2.0,2.0,1,43.3,0,0,1,0,1.15,18.85,,,0,0.0,0.0,20.85,1,0,0,1.7,18.9,D1647,39,4.82,Standard,4,0
R000108,C00631,2025-03-11,20,Tuesday,0,Lake City,Errand,3.8,10.1,7.2,0,,,0,46.9,0,0,0,0,1.0,14.4,,,0,0.0,0.0,14.4,1,0,0,9.0,13.2,D1648,7,4.71,Standard,5,0
R000109,C06325,2025-11-02,7,Sunday,1,Grand Junction,Errand,6.3,16.6,9.2,0,,,0,34.5,1,0,1,0,1.6,29.84,,,0,0.0,0.0,29.84,1,0,0,10.7,21.5,D0926,30,4.57,Comfort,5,0
R000110,C01715,2025-07-25,19,Friday,0,Grand Junction,Leisure,5.8,16.9,6.8,0,,,0,88.5,0,0,1,0,1.4,24.99,,,0,0.0,0.0,24.99,1,0,0,5.5,19.9,D1532,23,4.87,Standard,4,0
